gene_name	description	receptor	carnival_activity.res	UNIPROT.res	final_score.res	method.res	discordant.res	mf.res	carnival_activity.sens	UNIPROT.sens	final_score.sens	method.sens	discordant.sens	mf.sens	uniprotswissprot
DYRK1B	dual specificity tyrosine phosphorylation regulated kinase 1B [Source:HGNC Symbol;Acc:HGNC:3092]	NA	-100	Q9Y463	-2.39909	PhosphoScore	FALSE	kin	NA	NA	NA	NA	NA	NA	Q9Y463
E2F1	E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]	NA	-100	Q01094	NA	CARNIVAL	FALSE	tf	NA	NA	NA	NA	NA	NA	Q01094
E4F1	E4F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3121]	NA	-100	Q66K89	-1.4494	proteoscore	FALSE	tf	NA	NA	NA	NA	NA	NA	Q66K89
EEF1A2	eukaryotic translation elongation factor 1 alpha 2 [Source:HGNC Symbol;Acc:HGNC:3192]	NA	-100	Q05639	-2.1157	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q05639
EEF2K	eukaryotic elongation factor 2 kinase [Source:HGNC Symbol;Acc:HGNC:24615]	NA	100	O00418	5.29315	PhosphoScore	FALSE	kin	NA	NA	NA	NA	NA	NA	O00418
EGFR	epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]	y	100	P00533	NA	CARNIVAL	FALSE	kin	-100	P00533	-1.897131422	VIPER;VIPER	FALSE	kin	P00533
EGLN1	egl-9 family hypoxia inducible factor 1 [Source:HGNC Symbol;Acc:HGNC:1232]	NA	-100	Q9GZT9	-3.57441	PhosphoScore	FALSE	other	NA	NA	NA	NA	NA	NA	Q9GZT9
EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]	NA	-100	P19525	-3.04509	proteoscore	FALSE	kin	NA	NA	NA	NA	NA	NA	P19525
EIF2S1	eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]	NA	100	P05198	0.285962	proteoscore	FALSE	other	-100	P05198	-0.282583	proteoscore;proteoscore	FALSE	other	P05198
EIF2S2	eukaryotic translation initiation factor 2 subunit beta [Source:HGNC Symbol;Acc:HGNC:3266]	NA	-100	P20042	NA	CARNIVAL	FALSE	other	NA	NA	NA	NA	NA	NA	P20042
EIF3F	eukaryotic translation initiation factor 3 subunit F [Source:HGNC Symbol;Acc:HGNC:3275]	NA	100	O00303	0.472039	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	O00303
EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3288]	NA	100	Q13541	3.32188	PhosphoScore	FALSE	other	NA	NA	NA	NA	NA	NA	Q13541
EIF4G2	eukaryotic translation initiation factor 4 gamma 2 [Source:HGNC Symbol;Acc:HGNC:3297]	NA	-100	P78344	-0.277452	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P78344
ENAH	ENAH actin regulator [Source:HGNC Symbol;Acc:HGNC:18271]	NA	100	Q8N8S7	2.73471	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q8N8S7
ENO1	enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]	NA	-100	P06733	-1.00957	proteoscore	FALSE	tf	NA	NA	NA	NA	NA	NA	P06733
EP300	E1A binding protein p300 [Source:HGNC Symbol;Acc:HGNC:3373]	NA	100	Q09472	0.485765	proteoscore	FALSE	tf	NA	NA	NA	NA	NA	NA	Q09472
EPB41	erythrocyte membrane protein band 4.1 [Source:HGNC Symbol;Acc:HGNC:3377]	NA	-100	P11171	-1.25374	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P11171
EPN1	epsin 1 [Source:HGNC Symbol;Acc:HGNC:21604]	NA	-100	Q9Y6I3	-2.10492	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q9Y6I3
ERCC6L	"ERCC excision repair 6 like, spindle assembly checkpoint helicase [Source:HGNC Symbol;Acc:HGNC:20794]"	NA	100	Q2NKX8	0.523666	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q2NKX8
ESPL1	"extra spindle pole bodies like 1, separase [Source:HGNC Symbol;Acc:HGNC:16856]"	NA	100	Q14674	1.36289	PhosphoScore	FALSE	other	NA	NA	NA	NA	NA	NA	Q14674
ETV6	ETS variant transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:3495]	NA	100	P41212	1.79061	proteoscore	FALSE	tf	NA	NA	NA	NA	NA	NA	P41212
EWSR1	EWS RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3508]	NA	-100	Q01844	-0.238336	proteoscore	FALSE	tf	NA	NA	NA	NA	NA	NA	Q01844
EXOSC9	exosome component 9 [Source:HGNC Symbol;Acc:HGNC:9137]	NA	-100	Q06265	-0.642214	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q06265
EZR	ezrin [Source:HGNC Symbol;Acc:HGNC:12691]	NA	100	P15311	-0.7927	proteoscore	TRUE	other	NA	NA	NA	NA	NA	NA	P15311
FADD	Fas associated via death domain [Source:HGNC Symbol;Acc:HGNC:3573]	NA	100	Q13158	0.877587	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q13158
FBXW7	F-box and WD repeat domain containing 7 [Source:HGNC Symbol;Acc:HGNC:16712]	NA	-100	Q969H0	NA	CARNIVAL	FALSE	other	NA	NA	NA	NA	NA	NA	Q969H0
FBXW8	F-box and WD repeat domain containing 8 [Source:HGNC Symbol;Acc:HGNC:13597]	NA	-100	Q8N3Y1	-0.977168	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q8N3Y1
FCGR2A	Fc gamma receptor IIa [Source:HGNC Symbol;Acc:HGNC:3616]	y	-100	P12318	-4.84719	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P12318
FER	FER tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3655]	NA	-100	P16591	-1.89038	proteoscore	FALSE	kin	NA	NA	NA	NA	NA	NA	P16591
FES	"FES proto-oncogene, tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3657]"	NA	100	P07332	2.42517	proteoscore	FALSE	kin	NA	NA	NA	NA	NA	NA	P07332
FH	fumarate hydratase [Source:HGNC Symbol;Acc:HGNC:3700]	NA	-100	P07954	-1.20774	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P07954
FHOD1	formin homology 2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17905]	NA	-100	Q9Y613	-1.8913	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q9Y613
FKBP4	FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]	NA	100	Q02790	0.969894	proteoscore	FALSE	other	-100	Q02790	-0.369676	proteoscore;proteoscore	FALSE	other	Q02790
FKBP8	FKBP prolyl isomerase 8 [Source:HGNC Symbol;Acc:HGNC:3724]	NA	100	Q14318	0.619272	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q14318
FLCN	folliculin [Source:HGNC Symbol;Acc:HGNC:27310]	NA	100	Q8NFG4	4.462820000000001	PhosphoScore	FALSE	other	-100	Q8NFG4	-1.66033	PhosphoScore;PhosphoScore	FALSE	other	Q8NFG4
FLI1	"Fli-1 proto-oncogene, ETS transcription factor [Source:HGNC Symbol;Acc:HGNC:3749]"	NA	100	Q01543	3.32472	proteoscore	FALSE	tf	NA	NA	NA	NA	NA	NA	Q01543
FLNA	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]	NA	-100	P21333	-0.75278	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P21333
FLT3	fms related receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3765]	y	100	P36888	4.50212	proteoscore	FALSE	kin	NA	NA	NA	NA	NA	NA	P36888
FNIP1	folliculin interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:29418]	NA	-100	Q8TF40	-0.699178	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q8TF40
FOXN3	forkhead box N3 [Source:HGNC Symbol;Acc:HGNC:1928]	NA	100	O00409	2.71846	PhosphoScore	FALSE	tf	NA	NA	NA	NA	NA	NA	O00409
FUS	FUS RNA binding protein [Source:HGNC Symbol;Acc:HGNC:4010]	NA	-100	P35637	-0.452465	proteoscore	FALSE	tf	NA	NA	NA	NA	NA	NA	P35637
G6PD	glucose-6-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4057]	NA	-100	P11413-3;P11413	-1.74898	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P11413
GAB1	GRB2 associated binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4066]	NA	100	Q13480	0.916278	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q13480
GAB2	GRB2 associated binding protein 2 [Source:HGNC Symbol;Acc:HGNC:14458]	NA	-100	Q9UQC2	-1.90556	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q9UQC2
GABARAP	GABA type A receptor-associated protein [Source:HGNC Symbol;Acc:HGNC:4067]		100	O95166	NA	CARNIVAL	FALSE	other	NA	NA	NA	NA	NA	NA	O95166
GAMMA_SECRETASE	NA	NA	100	SIGNOR-C98	NA	CARNIVAL	FALSE	complex	NA	NA	NA	NA	NA	NA	NA
GATA1	GATA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4170]	NA	-100	P15976	-5.76435	proteoscore	FALSE	tf	100	P15976	NA	CARNIVAL	FALSE	tf	P15976
GATA2	GATA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4171]	NA	100	P23769	1.39184	proteoscore	FALSE	tf	NA	NA	NA	NA	NA	NA	P23769
GEM	GTP binding protein overexpressed in skeletal muscle [Source:HGNC Symbol;Acc:HGNC:4234]	NA	100	P55040	NA	CARNIVAL	FALSE	other	NA	NA	NA	NA	NA	NA	P55040
GIT1	GIT ArfGAP 1 [Source:HGNC Symbol;Acc:HGNC:4272]	NA	100	Q9Y2X7	0.771727	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q9Y2X7
GLI3	GLI family zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:4319]	NA	-100	P10071	NA	CARNIVAL	FALSE	tf	NA	NA	NA	NA	NA	NA	P10071
GLS	glutaminase [Source:HGNC Symbol;Acc:HGNC:4331]	NA	100	O94925-3;O94925	0.942182	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	O94925
GNA13	G protein subunit alpha 13 [Source:HGNC Symbol;Acc:HGNC:4381]	NA	-100	Q14344	-0.282695	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q14344
GNAQ	G protein subunit alpha q [Source:HGNC Symbol;Acc:HGNC:4390]	NA	-100	P50148	-3.81197	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P50148
GORASP1	golgi reassembly stacking protein 1 [Source:HGNC Symbol;Acc:HGNC:16769]	NA	-100	Q9BQQ3	-0.721263	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q9BQQ3
GORASP2	golgi reassembly stacking protein 2 [Source:HGNC Symbol;Acc:HGNC:17500]	NA	-100	Q9H8Y8	-1.23579	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q9H8Y8
GP1BB	glycoprotein Ib platelet subunit beta [Source:HGNC Symbol;Acc:HGNC:4440]	NA	-100	P13224	-4.40513	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P13224
GPHN	gephyrin [Source:HGNC Symbol;Acc:HGNC:15465]	NA	100	Q9NQX3	1.99276	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q9NQX3
GRAP	GRB2 related adaptor protein [Source:HGNC Symbol;Acc:HGNC:4562]	NA	100	Q13588	1.57078	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q13588
GRB10	growth factor receptor bound protein 10 [Source:HGNC Symbol;Acc:HGNC:4564]		100	Q13322	2.17353	PhosphoScore	FALSE	other	-100	Q13322	NA	CARNIVAL	FALSE	other	Q13322
GRB7	growth factor receptor bound protein 7 [Source:HGNC Symbol;Acc:HGNC:4567]		100	Q14451	1.40201	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q14451
GRK2	G protein-coupled receptor kinase 2 [Source:HGNC Symbol;Acc:HGNC:289]	y	100	P25098	-0.103779509	VIPER	TRUE	kin	NA	NA	NA	NA	NA	NA	P25098
GSN	gelsolin [Source:HGNC Symbol;Acc:HGNC:4620]	NA	100	P06396-3;P06396	0.904641	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P06396
GSTP1	glutathione S-transferase pi 1 [Source:HGNC Symbol;Acc:HGNC:4638]	NA	-100	P09211	-2.59483	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P09211
GTF2I	general transcription factor IIi [Source:HGNC Symbol;Acc:HGNC:4659]	NA	-100	P78347	-0.845754	proteoscore	FALSE	tf	NA	NA	NA	NA	NA	NA	P78347
HAT1	histone acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4821]	NA	-100	O14929	-1.17671	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	O14929
HDAC1	histone deacetylase 1 [Source:HGNC Symbol;Acc:HGNC:4852]	NA	-100	Q13547	-3.36136	PhosphoScore	FALSE	tf	NA	NA	NA	NA	NA	NA	Q13547
HDAC2	histone deacetylase 2 [Source:HGNC Symbol;Acc:HGNC:4853]	NA	100	Q92769	1.5443	PhosphoScore	FALSE	other	-100	Q92769	-1.51756	PhosphoScore;PhosphoScore	FALSE	other	Q92769
HDAC3	histone deacetylase 3 [Source:HGNC Symbol;Acc:HGNC:4854]	NA	100	O15379	1.75796	PhosphoScore	FALSE	tf	NA	NA	NA	NA	NA	NA	O15379
HDAC6	histone deacetylase 6 [Source:HGNC Symbol;Acc:HGNC:14064]	NA	-100	Q9UBN7	-4.961	PhosphoScore	FALSE	other	NA	NA	NA	NA	NA	NA	Q9UBN7
HDAC7	histone deacetylase 7 [Source:HGNC Symbol;Acc:HGNC:14067]	NA	-100	Q8WUI4	-2.38469	proteoscore	FALSE	tf	NA	NA	NA	NA	NA	NA	Q8WUI4
HIRA	histone cell cycle regulator [Source:HGNC Symbol;Acc:HGNC:4916]	NA	-100	P54198	-1.18578	proteoscore	FALSE	tf	NA	NA	NA	NA	NA	NA	P54198
HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	NA	100	P52789	1.25346	proteoscore	FALSE	kin	-100	P52789	-1.25086	proteoscore;proteoscore	FALSE	kin	P52789
HMGA1	high mobility group AT-hook 1 [Source:HGNC Symbol;Acc:HGNC:5010]	NA	-100	P17096	-2.10079	proteoscore	FALSE	tf	NA	NA	NA	NA	NA	NA	P17096
HMGA2	high mobility group AT-hook 2 [Source:HGNC Symbol;Acc:HGNC:5009]	NA	100	P52926	NA	CARNIVAL	FALSE	tf	NA	NA	NA	NA	NA	NA	P52926
HNRNPA1	heterogeneous nuclear ribonucleoprotein A1 [Source:HGNC Symbol;Acc:HGNC:5031]	NA	-100	P09651	-0.718949	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P09651
HSD17B10	hydroxysteroid 17-beta dehydrogenase 10 [Source:HGNC Symbol;Acc:HGNC:4800]	NA	-100	Q99714	-0.517551	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q99714
HSF1	heat shock transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5224]	NA	100	Q00613	5.697635	PhosphoScore	FALSE	tf	NA	NA	NA	NA	NA	NA	Q00613
HSPA1A	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	NA	100	P0DMV8	NA	CARNIVAL	FALSE	tf	NA	NA	NA	NA	NA	NA	P0DMV8
HSPA8	heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241]	NA	-100	P11142	0.387861	proteoscore	TRUE	other	NA	NA	NA	NA	NA	NA	P11142
HSPA9	heat shock protein family A (Hsp70) member 9 [Source:HGNC Symbol;Acc:HGNC:5244]	NA	-100	P38646	-1.33314	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P38646
HSPB1	heat shock protein family B (small) member 1 [Source:HGNC Symbol;Acc:HGNC:5246]	NA	-100	P04792	-10.3278	PhosphoScore	FALSE	other	NA	NA	NA	NA	NA	NA	P04792
ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	NA	-100	Q02363	NA	CARNIVAL	FALSE	other	NA	NA	NA	NA	NA	NA	Q02363
IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	NA	-100	O75874	-3.81461	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	O75874
IDH2	isocitrate dehydrogenase (NADP(+)) 2 [Source:HGNC Symbol;Acc:HGNC:5383]	NA	-100	P48735	-0.500991	proteoscore	FALSE	other	100	P48735	0.595603	proteoscore;proteoscore	FALSE	other	P48735
IKBKB	inhibitor of nuclear factor kappa B kinase subunit beta [Source:HGNC Symbol;Acc:HGNC:5960]	NA	100	O14920	0.005353795	VIPER	FALSE	kin	-100	O14920	NA	CARNIVAL	FALSE	kin	O14920
IL16	interleukin 16 [Source:HGNC Symbol;Acc:HGNC:5980]	NA	100	Q14005	2.349	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q14005
ILF3	interleukin enhancer binding factor 3 [Source:HGNC Symbol;Acc:HGNC:6038]	NA	-100	Q12906	-1.98373	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q12906
ILK	integrin linked kinase [Source:HGNC Symbol;Acc:HGNC:6040]	NA	100	Q13418	1.44735	proteoscore	FALSE	kin	NA	NA	NA	NA	NA	NA	Q13418
IMPDH1	inosine monophosphate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6052]	NA	100	P20839	0.320433	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P20839
IMPDH2	inosine monophosphate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6053]	NA	100	P12268	0.806258	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P12268
INSR	insulin receptor [Source:HGNC Symbol;Acc:HGNC:6091]	y	-100	P06213-2;P06213	NA	CARNIVAL	FALSE	kin	NA	NA	NA	NA	NA	NA	P06213
IQGAP1	IQ motif containing GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:6110]	NA	-100	P46940	-0.827067	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P46940
IRAK1	interleukin 1 receptor associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:6112]		-100	P51617	-1.75587	proteoscore	FALSE	kin	NA	NA	NA	NA	NA	NA	P51617
IRAK3	interleukin 1 receptor associated kinase 3 [Source:HGNC Symbol;Acc:HGNC:17020]		100	Q9Y616	2.88344	proteoscore	FALSE	kin	NA	NA	NA	NA	NA	NA	Q9Y616
IRAK4	interleukin 1 receptor associated kinase 4 [Source:HGNC Symbol;Acc:HGNC:17967]		-100	Q9NWZ3	-0.843935	proteoscore	FALSE	kin	NA	NA	NA	NA	NA	NA	Q9NWZ3
IRF3	interferon regulatory factor 3 [Source:HGNC Symbol;Acc:HGNC:6118]	NA	-100	Q14653	-3.5889	proteoscore	FALSE	tf	NA	NA	NA	NA	NA	NA	Q14653
IRF5	interferon regulatory factor 5 [Source:HGNC Symbol;Acc:HGNC:6120]	NA	100	Q13568	1.76746	proteoscore	FALSE	tf	NA	NA	NA	NA	NA	NA	Q13568
ITGAL	integrin subunit alpha L [Source:HGNC Symbol;Acc:HGNC:6148]	NA	100	P20701	2.86083	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P20701
ITGB2	integrin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6155]	NA	100	P05107	5.86954	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P05107
ITGB3	integrin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6156]	NA	100	P05106	2.71505	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P05106
JAK1	Janus kinase 1 [Source:HGNC Symbol;Acc:HGNC:6190]	NA	100	P23458	1.34681	proteoscore	FALSE	kin	NA	NA	NA	NA	NA	NA	P23458
JUN	"Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]"	NA	0	P05412	-1.272426	PhosphoScore	FALSE	tf	NA	NA	NA	NA	NA	NA	P05412
JUP	junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]	NA	-100	P14923	-2.1966	proteoscore	FALSE	tf	NA	NA	NA	NA	NA	NA	P14923
KAT5	lysine acetyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:5275]	NA	100	Q92993	NA	CARNIVAL	FALSE	tf	-100	Q92993	NA	CARNIVAL	FALSE	tf	Q92993
KAT7	lysine acetyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:17016]	NA	100	O95251	0.553504	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	O95251
KAT8	lysine acetyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:17933]	NA	-100	Q9H7Z6	-0.790693	proteoscore	FALSE	tf	NA	NA	NA	NA	NA	NA	Q9H7Z6
KCNH2	potassium voltage-gated channel subfamily H member 2 [Source:HGNC Symbol;Acc:HGNC:6251]	NA	-100	Q12809;Q12809_VAR_014388	-1.97933	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q12809
KDM1A	lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]	NA	-100	O60341	-0.435994	proteoscore	FALSE	tf	NA	NA	NA	NA	NA	NA	O60341
KDM3B	lysine demethylase 3B [Source:HGNC Symbol;Acc:HGNC:1337]	NA	-100	Q7LBC6	-0.719067	proteoscore	FALSE	tf	NA	NA	NA	NA	NA	NA	Q7LBC6
KDM6A	lysine demethylase 6A [Source:HGNC Symbol;Acc:HGNC:12637]	NA	-100	O15550	-1.01451	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	O15550
KEAP1	kelch like ECH associated protein 1 [Source:HGNC Symbol;Acc:HGNC:23177]	NA	-100	Q14145	-0.623172	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q14145
KHDRBS1	"KH RNA binding domain containing, signal transduction associated 1 [Source:HGNC Symbol;Acc:HGNC:18116]"	NA	-100	Q07666	-0.793532	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q07666
KIDINS220	kinase D interacting substrate 220 [Source:HGNC Symbol;Acc:HGNC:29508]	NA	-100	Q9ULH0	-1.84247	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q9ULH0
KIF13B	kinesin family member 13B [Source:HGNC Symbol;Acc:HGNC:14405]	NA	100	Q9NQT8	0.489696	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q9NQT8
KIF2C	kinesin family member 2C [Source:HGNC Symbol;Acc:HGNC:6393]	NA	-100	Q99661	-0.20438	PhosphoScore	FALSE	other	NA	NA	NA	NA	NA	NA	Q99661
KLC1	kinesin light chain 1 [Source:HGNC Symbol;Acc:HGNC:6387]	NA	-100	Q07866	-0.862778	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q07866
KMT2A	lysine methyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:7132]	NA	-100	Q03164	-1.45259	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q03164
KMT2D	lysine methyltransferase 2D [Source:HGNC Symbol;Acc:HGNC:7133]	NA	-100	O14686-3;O14686	-3.35299	proteoscore	FALSE	tf	NA	NA	NA	NA	NA	NA	O14686
KPNA2	karyopherin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6395]	NA	-100	P52292	-0.261091	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P52292
KRT8	keratin 8 [Source:HGNC Symbol;Acc:HGNC:6446]	NA	-100	P05787	-8.10693	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P05787
KSR1	kinase suppressor of ras 1 [Source:HGNC Symbol;Acc:HGNC:6465]	NA	100	Q8IVT5	0.550418	proteoscore	FALSE	kin	NA	NA	NA	NA	NA	NA	Q8IVT5
LAMTOR1	"late endosomal/lysosomal adaptor, MAPK and MTOR activator 1 [Source:HGNC Symbol;Acc:HGNC:26068]"	NA	-100	Q6IAA8	-1.07798	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q6IAA8
LARP6	"La ribonucleoprotein 6, translational regulator [Source:HGNC Symbol;Acc:HGNC:24012]"	NA	-100	Q9BRS8	NA	CARNIVAL	FALSE	other	NA	NA	NA	NA	NA	NA	Q9BRS8
LARP7	"La ribonucleoprotein 7, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:24912]"	NA	-100	Q4G0J3	-0.225278	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q4G0J3
LASP1	LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]	NA	-100	Q14847	-2.30268	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q14847
LATS2	large tumor suppressor kinase 2 [Source:HGNC Symbol;Acc:HGNC:6515]	NA	-100	Q9NRM7	NA	CARNIVAL	FALSE	kin	NA	NA	NA	NA	NA	NA	Q9NRM7
LDB1	LIM domain binding 1 [Source:HGNC Symbol;Acc:HGNC:6532]	NA	-100	Q86U70	-0.576825	proteoscore	FALSE	tf	NA	NA	NA	NA	NA	NA	Q86U70
LDHB	lactate dehydrogenase B [Source:HGNC Symbol;Acc:HGNC:6541]	NA	-100	P07195	-7.88612	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P07195
LIMA1	LIM domain and actin binding 1 [Source:HGNC Symbol;Acc:HGNC:24636]	NA	-100	Q9UHB6	-1.04353	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q9UHB6
LIMK2	LIM domain kinase 2 [Source:HGNC Symbol;Acc:HGNC:6614]	NA	100	P53671	0.9076652405194556	VIPER	FALSE	kin	NA	NA	NA	NA	NA	NA	P53671
LMNA	lamin A/C [Source:HGNC Symbol;Acc:HGNC:6636]	NA	-100	P02545	-1.886263333	PhosphoScore	FALSE	other	NA	NA	NA	NA	NA	NA	P02545
LMTK2	lemur tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:17880]	NA	-100	Q8IWU2	-0.992498	proteoscore	FALSE	kin	NA	NA	NA	NA	NA	NA	Q8IWU2
LPIN1	lipin 1 [Source:HGNC Symbol;Acc:HGNC:13345]	NA	-100	Q14693	-1.33268	proteoscore	FALSE	tf	NA	NA	NA	NA	NA	NA	Q14693
LRP6	LDL receptor related protein 6 [Source:HGNC Symbol;Acc:HGNC:6698]		100	O75581	1.16514	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	O75581
LRRK1	leucine rich repeat kinase 1 [Source:HGNC Symbol;Acc:HGNC:18608]	NA	100	Q38SD2	-0.502751	proteoscore	TRUE	kin	NA	NA	NA	NA	NA	NA	Q38SD2
LRRK2	leucine rich repeat kinase 2 [Source:HGNC Symbol;Acc:HGNC:18618]	NA	-100	Q5S007	NA	CARNIVAL	FALSE	kin	NA	NA	NA	NA	NA	NA	Q5S007
LYN	"LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]"	NA	-100	P07948	0.537362	proteoscore	TRUE	kin	NA	NA	NA	NA	NA	NA	P07948
LZTR1	leucine zipper like post translational regulator 1 [Source:HGNC Symbol;Acc:HGNC:6742]	NA	-100	Q8N653	-0.903682	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q8N653
